img_file,category,box_top,box_left,box_height,box_width,img_width,img_height
10484.png,product_title,212,594,19,372,1280,1280
10484.png,original_price,235,595,17,55,1280,1280
10500.png,product_type,238,68,30,836,1280,1280
10500.png,product_title,273,544,71,580,1280,1280
10500.png,original_price,395,546,21,202,1280,1280
10503.png,product_image,369,115,715,712,1280,1280
10503.png,5_star,371,956,27,96,1280,1280
10503.png,final_price,490,840,26,84,1280,1280
10507.png,product_type,6,3,24,381,1280,1280
10507.png,product_image,107,74,491,508,1280,1280
10507.png,company,376,981,44,142,1280,1280
10558.png,product_image,142,107,281,187,1280,1280
10558.png,company,151,357,23,160,1280,1280
10566.png,product_image,143,108,279,180,1280,1280
10566.png,company,172,356,23,164,1280,1280
10581.png,product_image,115,164,387,255,1280,1280
10581.png,company,144,475,18,100,1280,1280
10614.png,product_image,143,96,332,206,1280,1280
10614.png,company,149,355,27,145,1280,1280
10617.png,product_image,142,109,275,182,1280,1280
10617.png,final_price,152,1031,32,75,1280,1280
10645.png,product_image,140,98,281,203,1280,1280
10645.png,company,171,356,25,164,1280,1280
10645.png,product_type,71,823,27,422,1280,1280
10649.png,product_image,20,75,337,332,1280,1280
10649.png,original_price,378,99,32,166,1280,1280
10649.png,product_title,35,456,168,562,1280,1280
10658.png,product_image,20,74,336,334,1280,1280
10658.png,original_price,379,100,29,163,1280,1280
10658.png,product_title,37,457,123,645,1280,1280
10662.png,product_type,83,12,21,264,1280,1280
10662.png,product_title,111,325,31,407,1280,1280
10662.png,5_star,196,325,20,85,1280,1280
10671.png,product_image,140,142,156,101,1280,1280
10671.png,company,151,349,26,179,1280,1280
10672.png,product_image,142,97,243,205,1280,1280
10672.png,company,148,357,28,183,1280,1280
10711.png,product_type,470,3,25,443,1280,1280
10711.png,product_image,598,121,596,414,1280,1280
10777.png,product_image,236,218,325,319,1280,1280
10777.png,company,336,553,25,153,1280,1280
10777.png,number_rating,441,653,17,23,1280,1280
10786.png,product_type,98,11,23,325,1280,1280
10786.png,product_title,139,328,26,272,1280,1280
10786.png,4_star,186,329,19,82,1280,1280
10798.png,product_type,168,132,21,89,1280,1280
10798.png,product_title,213,422,31,374,1280,1280
10798.png,final_price,355,422,37,81,1280,1280
10817.png,product_type,167,132,22,86,1280,1280
10817.png,product_title,209,422,106,379,1280,1280
10817.png,final_price,421,425,39,81,1280,1280
10819.png,product_type,179,77,25,508,1280,1280
10819.png,company,287,403,19,110,1280,1280
10819.png,final_price,274,948,20,101,1280,1280
10828.png,product_title,56,303,70,651,1280,1280
10828.png,product_image,266,305,254,170,1280,1280
10878.png,product_image,339,140,764,665,1280,1280
10878.png,4_star,375,940,23,95,1280,1280
10878.png,final_price,466,842,27,70,1280,1280
1089.png,product_type,70,28,30,528,1280,1280
1089.png,product_image,259,203,256,432,1280,1280
10926.png,product_type,86,147,34,149,1280,1280
10926.png,company,158,721,39,172,1280,1280
10926.png,final_price,316,722,24,66,1280,1280
10993.png,product_title,172,59,42,488,1280,1280
10993.png,number_rating,220,190,16,22,1280,1280
10993.png,final_price,256,835,38,103,1280,1280
11024.png,product_type,7,244,28,660,1280,1280
11024.png,product_title,149,755,27,365,1280,1280
11024.png,5_star,194,755,22,83,1280,1280
11059.png,product_type,4,246,32,678,1280,1280
11059.png,product_title,152,755,22,408,1280,1280
11059.png,4_star,195,755,23,84,1280,1280
1107.png,product_type,88,2,29,787,1280,1280
1107.png,coupon,156,28,25,326,1280,1280
1107.png,product_image,264,132,621,477,1280,1280
1107.png,discount,352,768,18,78,1280,1280
11104.png,product_type,103,11,34,424,1280,1280
11104.png,company,156,628,26,99,1280,1280
11104.png,5_star,210,628,19,66,1280,1280
11122.png,product_title,174,59,37,582,1280,1280
11122.png,number_rating,219,190,18,23,1280,1280
11122.png,final_price,259,835,32,94,1280,1280
11132.png,product_type,105,9,32,470,1280,1280
11132.png,company,156,630,26,99,1280,1280
11132.png,discount,183,630,24,96,1280,1280
11132.png,3_star,212,630,15,64,1280,1280
11134.png,product_title,174,56,41,393,1280,1280
11134.png,number_rating,217,189,23,22,1280,1280
11134.png,final_price,256,834,33,86,1280,1280
11147.png,product_title,172,58,42,756,1280,1280
11147.png,number_rating,220,189,16,23,1280,1280
11147.png,final_price,260,834,30,91,1280,1280
11176.png,product_type,78,8,26,215,1280,1280
11176.png,product_title,114,454,58,528,1280,1280
11176.png,4_star,194,459,18,81,1280,1280
11186.png,product_type,100,33,29,409,1280,1280
11186.png,company,182,733,25,102,1280,1280
11186.png,discount,148,734,14,64,1280,1280
11186.png,number_rating,266,872,23,27,1280,1280
11186.png,original_price,498,828,31,75,1280,1280
11189.png,product_type,100,32,27,670,1280,1280
11189.png,product_title,207,731,57,475,1280,1280
11189.png,original_price,562,831,17,60,1280,1280
11217.png,product_title,171,60,42,489,1280,1280
11217.png,number_rating,220,188,17,26,1280,1280
11217.png,final_price,257,832,34,96,1280,1280
11218.png,product_type,748,13,33,425,1280,1280
11218.png,product_title,827,629,23,305,1280,1280
11218.png,final_price,898,627,35,85,1280,1280
11220.png,product_title,176,59,39,607,1280,1280
11220.png,number_rating,220,190,16,22,1280,1280
11220.png,final_price,259,830,31,98,1280,1280
11273.png,product_type,24,40,27,179,1280,1280
11273.png,product_title,127,691,57,355,1280,1280
11273.png,final_price,227,692,29,39,1280,1280
11283.png,product_image,467,74,137,214,1280,1280
11283.png,4_star,414,349,26,93,1280,1280
11312.png,product_type,49,183,28,570,1280,1280
11312.png,product_title,131,730,62,334,1280,1280
11312.png,original_price,203,775,19,31,1280,1280
11366.png,product_type,99,11,25,189,1280,1280
11366.png,product_title,134,457,59,526,1280,1280
11366.png,4_star,210,458,19,83,1280,1280
11393.png,product_type,78,7,27,440,1280,1280
11393.png,product_title,113,451,88,531,1280,1280
11393.png,3_star,219,456,18,85,1280,1280
11393.png,original_price,291,461,18,107,1280,1280
11477.png,product_type,77,9,30,399,1280,1280
11477.png,product_title,141,423,54,539,1280,1280
11477.png,4_star,196,426,20,83,1280,1280
1151.png,product_type,141,14,26,746,1280,1280
1151.png,product_image,308,33,555,422,1280,1280
11563.png,product_type,17,49,32,422,1280,1280
11563.png,product_title,77,653,93,533,1280,1280
11563.png,final_price,217,651,36,103,1280,1280
11573.png,product_type,80,7,25,442,1280,1280
11573.png,product_title,115,456,114,518,1280,1280
11573.png,4_star,246,458,21,83,1280,1280
11591.png,product_type,719,12,29,385,1280,1280
11591.png,product_title,760,625,121,563,1280,1280
11591.png,4_star,915,628,20,68,1280,1280
11591.png,original_price,972,718,18,76,1280,1280
11605.png,product_type,109,14,25,431,1280,1280
11605.png,product_title,150,622,165,603,1280,1280
11605.png,final_price,367,629,31,83,1280,1280
11634.png,product_type,80,10,23,397,1280,1280
11634.png,product_title,137,425,57,521,1280,1280
11634.png,3_star,225,427,20,84,1280,1280
1176.png,product_type,72,25,26,619,1280,1280
1176.png,product_image,289,241,362,387,1280,1280
1176.png,final_price,113,834,39,241,1280,1280
1176.png,discount,157,987,21,106,1280,1280
11817.png,product_type,81,155,20,324,1280,1280
11817.png,product_title,116,730,36,232,1280,1280
11883.png,product_type,84,157,18,310,1280,1280
11883.png,product_title,115,728,36,207,1280,1280
11885.png,product_type,83,165,21,330,1280,1280
11885.png,product_title,117,741,31,234,1280,1280
12011.png,product_type,296,84,31,691,1280,1280
12011.png,product_title,401,679,91,518,1280,1280
12080.png,product_type,0,0,30,723,1280,1280
12080.png,product_image,91,168,513,325,1280,1280
12080.png,company,377,981,40,103,1280,1280
12143.png,product_type,119,48,32,370,1280,1280
12143.png,product_title,209,504,63,412,1280,1280
12143.png,final_price,379,565,22,60,1280,1280
12143.png,discount,409,505,17,72,1280,1280
12158.png,product_type,79,3,24,299,1280,1280
12158.png,product_title,129,320,33,558,1280,1280
12158.png,5_star,215,326,23,86,1280,1280
12158.png,original_price,199,1124,17,106,1280,1280
12170.png,product_type,469,7,23,453,1280,1280
12170.png,product_image,562,132,593,386,1280,1280
12173.png,product_image,118,174,387,258,1280,1280
12173.png,company,144,482,16,178,1280,1280
1218.png,product_type,107,8,30,473,1280,1280
1218.png,product_title,146,629,83,596,1280,1280
1218.png,4_star,263,629,19,68,1280,1280
12195.png,product_type,179,24,25,312,1280,1280
12195.png,product_image,565,228,568,406,1280,1280
12202.png,product_type,80,8,26,299,1280,1280
12202.png,product_title,112,323,31,552,1280,1280
12202.png,4_star,196,325,21,86,1280,1280
12221.png,product_image,344,46,442,778,1280,1280
12221.png,company,346,841,25,116,1280,1280
12226.png,product_title,189,150,81,989,1280,1280
12226.png,product_image,356,269,385,279,1280,1280
12273.png,product_type,180,74,21,336,1280,1280
12273.png,product_title,233,403,28,366,1280,1280
12273.png,3_star,285,404,22,86,1280,1280
12301.png,product_type,291,65,22,413,1280,1280
12301.png,4_star,348,70,14,71,1280,1280
12301.png,product_image,438,201,544,549,1280,1280
12301.png,coupon,380,610,43,224,1280,1280
12311.png,product_type,177,75,26,613,1280,1280
12311.png,company,261,402,19,343,1280,1280
12311.png,final_price,272,944,25,108,1280,1280
12426.png,product_type,7,0,25,316,1280,1280
12426.png,product_image,96,93,486,500,1280,1280
12426.png,company,389,979,41,123,1280,1280
12441.png,product_type,47,184,33,673,1280,1280
12441.png,product_title,133,731,63,311,1280,1280
12441.png,final_price,195,732,28,33,1280,1280
12456.png,product_image,361,151,805,673,1280,1280
12456.png,company,375,843,22,88,1280,1280
12456.png,final_price,468,844,27,66,1280,1280
12481.png,product_type,3,0,25,743,1280,1280
12481.png,product_image,181,81,335,496,1280,1280
12481.png,company,325,980,44,98,1280,1280
1253.png,product_type,37,0,18,757,1280,1280
1253.png,product_title,69,456,62,437,1280,1280
1253.png,4_star,147,459,22,84,1280,1280
1253.png,original_price,181,487,18,81,1280,1280
12530.png,product_type,4,0,27,324,1280,1280
12530.png,product_image,162,80,379,498,1280,1280
12530.png,company,326,980,40,143,1280,1280
12537.png,product_title,208,140,41,680,1280,1280
12537.png,final_price,320,809,26,77,1280,1280
12537.png,final_price,,,0,0,1280,1280
12550.png,product_image,366,204,720,538,1280,1280
12550.png,company,375,841,23,95,1280,1280
12550.png,final_price,509,842,28,68,1280,1280
12579.png,product_type,51,81,24,620,1280,1280
12579.png,product_title,95,415,66,440,1280,1280
12579.png,company,137,904,21,205,1280,1280
12613.png,product_type,49,79,30,667,1280,1280
12613.png,product_title,97,414,64,416,1280,1280
12613.png,company,137,907,20,241,1280,1280
12642.png,product_type,49,82,31,514,1280,1280
12642.png,product_title,94,409,66,419,1280,1280
12642.png,company,136,906,19,174,1280,1280
12682.png,product_type,6,3,26,750,1280,1280
12682.png,product_image,204,79,461,487,1280,1280
12682.png,company,447,981,37,123,1280,1280
12784.png,product_type,5,0,32,313,1280,1280
12784.png,product_image,161,77,379,503,1280,1280
12784.png,company,391,981,38,103,1280,1280
12786.png,product_type,113,12,29,641,1280,1280
12786.png,product_title,180,669,25,230,1280,1280
12786.png,final_price,261,669,28,64,1280,1280
12787.png,product_type,111,14,32,704,1280,1280
12787.png,company,157,669,24,94,1280,1280
12787.png,2_star,226,670,21,87,1280,1280
12787.png,original_price,265,813,23,92,1280,1280
12847.png,product_title,350,12,31,482,1280,1280
12847.png,product_image,467,17,410,435,1280,1280
12847.png,original_price,411,954,17,245,1280,1280
12882.png,product_type,78,24,44,600,1280,1280
12882.png,product_image,308,35,325,341,1280,1280
12967.png,product_type,108,217,28,638,1280,1280
12967.png,product_title,148,606,28,419,1280,1280
12967.png,company,413,602,20,118,1280,1280
12972.png,product_type,87,32,28,385,1280,1280
12972.png,product_title,168,744,81,481,1280,1280
12972.png,final_price,301,747,26,94,1280,1280
12986.png,product_type,75,23,34,603,1280,1280
12986.png,product_image,351,18,130,366,1280,1280
12995.png,product_type,76,19,31,720,1280,1280
12995.png,product_image,376,31,89,345,1280,1280
13036.png,product_type,294,205,33,335,1280,1280
13036.png,product_title,343,606,35,418,1280,1280
13136.png,product_type,80,7,26,832,1280,1280
13136.png,product_title,114,579,167,397,1280,1280
13136.png,4_star,301,588,18,83,1280,1280
13136.png,original_price,334,616,18,82,1280,1280
13144.png,product_type,108,11,31,403,1280,1280
13144.png,product_title,150,625,37,534,1280,1280
13144.png,company,194,775,19,83,1280,1280
13144.png,original_price,248,699,17,45,1280,1280
1317.png,product_type,81,10,26,303,1280,1280
1317.png,product_title,114,455,86,472,1280,1280
1317.png,5_star,221,460,17,83,1280,1280
1317.png,coupon,292,454,26,362,1280,1280
13171.png,product_type,78,23,43,594,1280,1280
13171.png,product_image,315,49,320,313,1280,1280
1322.png,product_type,33,10,28,733,1280,1280
1322.png,product_title,70,456,59,472,1280,1280
1322.png,4_star,147,459,20,83,1280,1280
1322.png,original_price,180,527,20,87,1280,1280
13242.png,product_type,81,8,23,435,1280,1280
13242.png,product_title,117,646,56,293,1280,1280
13242.png,4_star,192,649,20,85,1280,1280
13242.png,original_price,226,645,19,116,1280,1280
13244.png,product_type,78,25,42,651,1280,1280
13244.png,product_image,378,25,116,355,1280,1280
13274.png,product_type,77,25,29,834,1280,1280
13274.png,product_image,299,33,245,353,1280,1280
1328.png,product_type,109,14,27,453,1280,1280
1328.png,product_title,146,626,82,557,1280,1280
1328.png,final_price,310,629,30,81,1280,1280
13298.png,product_type,75,21,33,427,1280,1280
13298.png,product_image,278,30,278,345,1280,1280
13323.png,product_type,76,23,45,997,1280,1280
13323.png,product_image,287,28,286,351,1280,1280
13342.png,product_type,194,43,30,141,1280,1280
13342.png,product_title,243,610,73,574,1280,1280
13342.png,final_price,368,614,36,102,1280,1280
1336.png,product_type,33,6,28,735,1280,1280
1336.png,product_title,70,456,32,444,1280,1280
1336.png,4_star,121,458,19,83,1280,1280
1338.png,product_type,115,14,27,645,1280,1280
1338.png,product_title,179,669,24,268,1280,1280
1338.png,final_price,263,670,23,61,1280,1280
1342.png,product_type,48,184,32,660,1280,1280
1342.png,company,113,731,18,36,1280,1280
1342.png,final_price,163,733,29,52,1280,1280
13424.png,product_type,162,26,33,828,1280,1280
13424.png,product_title,243,350,33,360,1280,1280
13424.png,final_price,461,352,34,112,1280,1280
13424.png,discount,506,351,20,162,1280,1280
1344.png,product_type,32,23,33,697,1280,1280
1344.png,product_title,66,415,43,557,1280,1280
1344.png,4_star,164,417,33,154,1280,1280
13451.png,product_type,77,24,32,716,1280,1280
13451.png,product_image,303,19,212,364,1280,1280
13498.png,product_type,470,9,23,397,1280,1280
13498.png,company,533,12,28,136,1280,1280
13498.png,final_price,579,656,38,102,1280,1280
13522.png,product_image,68,246,280,165,1280,1280
13522.png,company,109,474,28,165,1280,1280
13522.png,final_price,179,472,27,103,1280,1280
13542.png,product_type,161,27,30,763,1280,1280
13542.png,product_title,238,349,39,602,1280,1280
13542.png,final_price,487,352,33,83,1280,1280
13542.png,discount,531,350,19,138,1280,1280
13576.png,product_type,297,86,27,411,1280,1280
13576.png,product_title,396,672,68,503,1280,1280
13593.png,product_type,86,129,31,364,1280,1280
13593.png,product_title,124,530,48,573,1280,1280
13593.png,final_price,224,654,28,65,1280,1280
13593.png,discount,231,724,19,60,1280,1280
13680.png,product_image,369,204,715,529,1280,1280
13680.png,company,373,842,23,111,1280,1280
13680.png,final_price,483,843,23,72,1280,1280
13692.png,product_type,157,303,39,203,1280,1280
13692.png,product_image,341,374,133,226,1280,1280
13776.png,product_type,7,0,26,601,1280,1280
13776.png,product_image,160,80,382,504,1280,1280
13776.png,company,390,981,40,139,1280,1280
13849.png,product_type,7,0,22,748,1280,1280
13849.png,product_image,107,74,494,510,1280,1280
13849.png,company,379,983,36,130,1280,1280
13876.png,product_image,146,0,585,797,1280,1280
13876.png,company,288,828,26,170,1280,1280
13897.png,product_type,175,74,32,518,1280,1280
13897.png,company,311,403,19,92,1280,1280
13897.png,final_price,269,944,28,107,1280,1280
13907.png,product_image,364,121,714,698,1280,1280
13907.png,5_star,369,943,22,95,1280,1280
13907.png,final_price,513,837,28,83,1280,1280
1396.png,product_type,91,11,29,332,1280,1280
1396.png,product_title,131,623,81,620,1280,1280
1396.png,original_price,274,707,20,65,1280,1280
13995.png,product_type,46,7,34,673,1280,1280
13995.png,product_title,89,640,46,401,1280,1280
14000.png,product_type,46,132,23,463,1280,1280
14000.png,product_title,82,614,70,478,1280,1280
14000.png,company,205,620,24,206,1280,1280
14000.png,original_price,245,713,18,59,1280,1280
14012.png,product_type,105,11,34,827,1280,1280
14012.png,product_title,148,625,120,599,1280,1280
14012.png,company,273,768,26,143,1280,1280
14012.png,original_price,331,715,21,85,1280,1280
14062.png,product_type,78,9,27,426,1280,1280
14062.png,company,122,692,50,142,1280,1280
14062.png,4_star,242,649,21,83,1280,1280
14093.png,product_type,44,63,31,657,1280,1280
14093.png,product_title,105,466,40,379,1280,1280
14093.png,original_price,261,606,24,83,1280,1280
14093.png,number_rating,217,564,18,26,1280,1280
1413.png,product_type,109,16,29,335,1280,1280
1413.png,product_title,148,628,122,604,1280,1280
1413.png,final_price,326,631,27,77,1280,1280
14140.png,product_type,76,8,26,349,1280,1280
14140.png,product_title,118,455,27,262,1280,1280
14140.png,4_star,164,458,21,87,1280,1280
14163.png,product_type,73,25,40,864,1280,1280
14163.png,product_image,244,51,344,300,1280,1280
14236.png,product_type,178,23,29,317,1280,1280
14236.png,product_image,560,231,562,389,1280,1280
14302.png,product_type,120,47,27,545,1280,1280
14302.png,product_title,206,497,104,514,1280,1280
14302.png,final_price,411,562,19,62,1280,1280
14302.png,discount,442,505,16,72,1280,1280
14322.png,product_type,113,13,30,685,1280,1280
14322.png,company,158,669,22,74,1280,1280
14322.png,final_price,262,668,27,68,1280,1280
14328.png,product_type,80,11,22,288,1280,1280
14328.png,product_title,129,322,33,598,1280,1280
14328.png,4_star,216,325,20,87,1280,1280
14328.png,original_price,204,1125,17,107,1280,1280
1441.png,product_type,108,11,29,383,1280,1280
1441.png,product_title,146,623,125,623,1280,1280
1441.png,5_star,306,629,19,66,1280,1280
1441.png,original_price,358,720,24,80,1280,1280
14415.png,product_type,7,4,24,147,1280,1280
14415.png,product_image,128,96,365,357,1280,1280
14415.png,original_price,228,492,22,120,1280,1280
14415.png,company,407,933,42,176,1280,1280
1442.png,product_type,272,14,25,402,1280,1280
1442.png,4_star,354,275,22,107,1280,1280
1442.png,final_price,452,680,45,167,1280,1280
1443.png,product_type,78,11,30,369,1280,1280
1443.png,product_title,116,585,138,393,1280,1280
1443.png,5_star,273,588,20,83,1280,1280
14439.png,product_type,166,132,24,89,1280,1280
14439.png,product_title,214,654,36,338,1280,1280
14439.png,final_price,354,656,30,69,1280,1280
14448.png,product_type,470,13,22,385,1280,1280
14448.png,product_image,562,135,588,386,1280,1280
14448.png,5_star,625,658,23,99,1280,1280
1445.png,product_type,82,7,22,370,1280,1280
1445.png,product_title,114,584,166,400,1280,1280
1445.png,4_star,300,587,20,83,1280,1280
14489.png,product_type,6,2,24,646,1280,1280
14489.png,4_star,107,7,21,84,1280,1280
14489.png,final_price,255,491,50,150,1280,1280
14566.png,product_type,6,248,30,554,1280,1280
14566.png,company,120,754,30,80,1280,1280
14566.png,4_star,192,754,29,86,1280,1280
14577.png,product_type,176,76,29,448,1280,1280
14577.png,product_title,232,398,29,502,1280,1280
14577.png,4_star,284,404,25,85,1280,1280
14587.png,product_type,121,104,21,309,1280,1280
14587.png,product_title,168,450,25,264,1280,1280
14587.png,5_star,214,450,22,76,1280,1280
14587.png,original_price,261,517,19,72,1280,1280
14595.png,product_type,0,0,30,151,1280,1280
14595.png,4_star,85,8,24,84,1280,1280
14595.png,final_price,235,489,53,143,1280,1280
14598.png,product_type,178,77,29,339,1280,1280
14598.png,product_title,229,399,34,490,1280,1280
14598.png,final_price,269,945,27,109,1280,1280
14631.png,product_type,277,67,20,328,1280,1280
14631.png,4_star,339,69,19,71,1280,1280
14631.png,product_image,427,209,552,546,1280,1280
14631.png,coupon,363,608,24,227,1280,1280
14654.png,product_image,92,57,399,380,1280,1280
14654.png,company,178,457,19,137,1280,1280
14654.png,final_price,267,455,24,101,1280,1280
14682.png,product_type,165,33,43,1080,1280,1280
14682.png,product_title,220,642,31,373,1280,1280
14682.png,original_price,384,644,22,109,1280,1280
14682.png,5_star,589,946,21,95,1280,1280
14690.png,product_type,163,44,31,1007,1280,1280
14690.png,product_title,203,645,59,534,1280,1280
14690.png,original_price,394,651,21,98,1280,1280
14707.png,product_type,162,39,30,967,1280,1280
14707.png,product_title,245,643,29,355,1280,1280
14707.png,original_price,408,644,20,96,1280,1280
14708.png,product_type,4,11,29,505,1280,1280
14708.png,product_image,130,138,364,289,1280,1280
14708.png,company,407,937,40,128,1280,1280
14723.png,product_type,157,33,41,1164,1280,1280
14723.png,product_title,205,643,25,271,1280,1280
14723.png,original_price,366,644,22,97,1280,1280
14767.png,product_image,152,130,403,300,1280,1280
14767.png,final_price,190,1095,29,81,1280,1280
14767.png,discount,240,1084,16,101,1280,1280
14774.png,product_type,80,9,22,285,1280,1280
14774.png,company,151,14,20,172,1280,1280
14774.png,product_image,254,16,334,267,1280,1280
14824.png,product_image,141,98,259,205,1280,1280
14824.png,company,170,357,27,105,1280,1280
14824.png,product_type,71,780,25,462,1280,1280
14873.png,product_type,8,6,22,167,1280,1280
14873.png,product_image,91,71,521,519,1280,1280
14873.png,company,377,983,41,152,1280,1280
1494.png,product_type,105,15,30,382,1280,1280
1494.png,product_title,147,626,86,617,1280,1280
1494.png,company,235,764,20,43,1280,1280
14981.png,product_image,118,29,420,288,1280,1280
14981.png,company,183,363,27,246,1280,1280
14981.png,final_price,254,349,22,165,1280,1280
1499.png,product_type,82,6,28,710,1280,1280
1499.png,product_image,414,14,342,434,1280,1280
14998.png,product_image,68,150,406,403,1280,1280
14998.png,final_price,127,565,23,56,1280,1280
15007.png,product_type,76,8,31,311,1280,1280
15007.png,company,149,13,25,392,1280,1280
15007.png,product_image,220,15,344,263,1280,1280
15012.png,product_type,164,39,26,610,1280,1280
15012.png,product_title,205,643,31,274,1280,1280
15012.png,original_price,367,643,20,100,1280,1280
15012.png,5_star,571,944,21,98,1280,1280
15079.png,product_type,78,10,27,217,1280,1280
15079.png,product_title,109,324,33,579,1280,1280
15079.png,5_star,197,325,20,85,1280,1280
15089.png,product_type,5,1,27,175,1280,1280
15089.png,product_image,135,129,507,395,1280,1280
15089.png,company,367,982,37,113,1280,1280
15114.png,product_image,510,44,287,789,1280,1280
15114.png,company,376,841,21,111,1280,1280
15114.png,final_price,520,841,24,73,1280,1280
15114.png,discount,545,842,19,158,1280,1280
15129.png,product_type,7,0,27,383,1280,1280
15129.png,product_image,198,78,302,501,1280,1280
15129.png,company,327,980,41,181,1280,1280
15135.png,product_type,4,0,26,410,1280,1280
15135.png,4_star,124,5,23,88,1280,1280
15135.png,final_price,277,494,47,103,1280,1280
15135.png,discount,345,567,20,63,1280,1280
15162.png,product_type,81,8,27,318,1280,1280
15162.png,product_image,192,19,342,261,1280,1280
15162.png,original_price,311,1123,20,108,1280,1280
15192.png,product_image,369,49,590,778,1280,1280
15192.png,company,372,842,24,108,1280,1280
15192.png,final_price,464,841,26,57,1280,1280
15222.png,product_image,369,115,715,712,1280,1280
15222.png,5_star,375,961,23,93,1280,1280
15222.png,final_price,521,845,23,76,1280,1280
15260.png,product_image,126,44,682,640,1280,1280
15260.png,5_star,344,703,30,95,1280,1280
15260.png,original_price,394,770,25,68,1280,1280
1532.png,product_type,153,163,23,786,1280,1280
1532.png,number_rating,193,199,13,15,1280,1280
1532.png,product_image,292,139,267,470,1280,1280
1532.png,original_price,276,936,19,146,1280,1280
15373.png,product_type,94,6,27,258,1280,1280
15373.png,product_title,130,451,86,494,1280,1280
15373.png,3_star,237,458,18,82,1280,1280
15373.png,coupon,306,455,30,377,1280,1280
15385.png,product_image,52,148,502,494,1280,1280
15385.png,product_title,126,689,62,411,1280,1280
1545.png,product_type,86,25,25,316,1280,1280
1545.png,product_image,270,29,382,391,1280,1280
1545.png,final_price,336,1093,38,134,1280,1280
1545.png,discount,307,1120,24,103,1280,1280
15480.png,product_type,92,12,29,551,1280,1280
15480.png,product_title,134,625,75,599,1280,1280
15480.png,4_star,248,629,16,64,1280,1280
15489.png,product_image,165,121,388,261,1280,1280
15489.png,company,194,387,19,121,1280,1280
15489.png,final_price,192,1095,24,79,1280,1280
15489.png,discount,239,1080,19,112,1280,1280
15520.png,product_type,82,10,24,212,1280,1280
15520.png,product_title,130,323,54,596,1280,1280
15520.png,5_star,215,326,24,86,1280,1280
15520.png,original_price,201,1123,21,108,1280,1280
15532.png,product_type,473,12,19,332,1280,1280
15532.png,product_image,568,132,582,386,1280,1280
1555.png,product_type,36,35,30,432,1280,1280
1555.png,product_title,90,459,92,345,1280,1280
1555.png,number_rating,192,587,16,21,1280,1280
1555.png,original_price,115,910,20,257,1280,1280
15553.png,product_type,157,16,29,970,1280,1280
15553.png,product_title,203,629,30,299,1280,1280
15553.png,company,243,771,19,72,1280,1280
15578.png,product_image,22,74,331,330,1280,1280
15578.png,original_price,379,95,30,171,1280,1280
15578.png,product_title,41,453,62,163,1280,1280
15611.png,product_image,148,226,585,582,1280,1280
15611.png,final_price,325,829,36,89,1280,1280
15626.png,product_type,6,4,24,159,1280,1280
15626.png,product_image,99,82,502,497,1280,1280
15626.png,company,325,978,42,131,1280,1280
15655.png,product_type,467,10,32,313,1280,1280
15655.png,product_image,565,115,590,420,1280,1280
15655.png,original_price,599,658,19,84,1280,1280
